Unnamed: 0,sentiment,confidence,label,Content
679,1,0.9996860027313232,Positive,sangat bantu semua makin mudah
879,1,0.9997419714927672,Positive,mantaapp banyak diskon kerjasama kartu kredit
1022,1,0.9996902942657472,Positive,beli tiket apa aja hotel lebih mudah terima kasih
141,0,0.999924659729004,Negative,capek capek jaga tagih skrng pas btuh malah gbs aktivasi viual number slalu coba lg jam padahal limit besar percuma
786,0,0.998336374759674,Negative,proses nya cepat layan nya baik
2,1,0.999853491783142,Positive,cepat proses senang tiap kali ubah selalu kabar bertggjwb terimakasih moga makin baik depanny
319,0,0.9999237060546876,Negative,kalo gk siap buat war gk usah terima tawar kalo ujung nya crash semua
339,1,0.998928964138031,Positive,oke aplikasi bagus mudah buat guna amin
839,0,0.9999372959136964,Negative,maaf uninstal lemott bgttt bikin emosi
265,0,0.9998608827590942,Negative,e www e rs tt zz wwwsebelah wayrrr ss ss d see rrr rdswww www lwj to z se ess serrsrese s eeersrrss s z sseszeeswsz wa yguhb eseess srsesseeeseeada c ng ibu dx wt be
376,1,0.9998658895492554,Positive,dasar saran ortu kata coba pakai nyata memang bantu bgt buat aku ken pulkam pas libur kuliah pernah pas dpt jadi batal maskapai semua bener mudah the best mah moga tetap jadi aplikasi travel percaya
709,1,0.9994874000549316,Positive,assalamu alaikum hai kenal nama zharifa rumah ku jakarta timur apk nya bagus buat naik pesawat udah lama enggak naik pesawat makasih yg sudha buatin apk moga apk banyak org yg suka kasih bintang iya aku lupa kampung ku jawa tengah yg bahasa jawa like
439,1,0.9910336136817932,Positive,sangat bagus moga banyak promo
271,1,0.9996310472488404,Positive,sih bayar paylater cuma pakai bca mandiri kn gk punya bank pdhal dah bagus bgt loh apk nya cuma metode bayar era jaman yg mudah bayar cuma pakai bank dong tambah metode bayar pakai bni bsi
244,0,0.9999136924743652,Negative,kan coba daftr payletr ko tolak si kan ngisi data benar data msh bgs
938,1,0.9697350859642028,Positive,sngat bantu skali cek tiket mudik
399,0,0.9992973804473876,Negative,min dik tiket indo vs argentina yaa
650,0,0.9999312162399292,Negative,ganti hp baru kok paylater ilang daftar telpon operator otomatis
555,0,0.9999237060546876,Negative,sekian kali booking lewat trouble refund
415,0,0.9997984766960144,Negative,penggunaaanya mudah refund proses cepat
273,1,0.9983322024345398,Positive,sangat bantu sekali thank s
757,0,0.9999016523361206,Negative,jangan guna aplikasi peras aplikasi tipu
250,0,0.999821960926056,Negative,aplikasi bagus banget sangat bantu guna nya
413,0,0.9997803568840028,Negative,tadi enak bgt bru aktifin paylatter udh dpet pake selalu lancar udh upgrade kok jd turun lg buat andal plah bgini kecewa si
438,1,0.9997053742408752,Positive,bagus banget harga tiket sini jauh lebih murah banding yg
310,1,0.999467432498932,Positive,smg selalu optimal utk layan publik
18,1,0.9997699856758118,Positive,aplikasi yg sangat mudah segala dlm jalan ku fiturnya lengkap mantap
610,0,0.9999312162399292,Negative,beli tiket evocher butuh waktu yg lumayan lamaaa gak tahu sekarang knapa padahal dah tf beda dulu langsung ketika e voucher muncul limit paylatter yg gak pernah naik kayak gak pernah cek konsumen yg loyal yg malah konsumen baru yg voucher potong aneh
425,1,0.9971767663955688,Positive,oke baik kamar ganti kamar yg bagus sesuai harga terimakasih moga depan makin lebih canggih makin baik layan
852,1,0.9994090795516968,Positive,interface enak mudah cari destination sini
495,1,0.99689519405365,Positive,lebih mudah pesan nya lebih murah harga nya
818,0,0.9999265670776368,Negative,parah udah trf tp hotel kamar penuh lantas dana gak lsg malah d suruh nunggu hari kerja
307,0,0.9999120235443116,Negative,bayar mahal buat fee platform server sengaja buat down banyak tiket keep buat orang dalem tobat lu semua duit gak bawa mati
757,0,0.999934196472168,Negative,apk nya eror terus gak fungsi
1080,1,0.9993289709091188,Positive,sangat bantu banyak promo nya nice
599,1,0.9779415726661682,Positive,sngat bantu butuh tiket utk jalan keluar kota utama mudik lebaran
526,0,0.9999125003814696,Negative,terlalu banyak iklan sisip bagus tampil awal awal aplikasi
614,1,0.987967848777771,Positive,okey bngt cepat dam sangat bantu tkd full
705,1,0.9998605251312256,Positive,the best moga banyak promo saji tiket voucher hotel makin murah riah
182,1,0.9977790713310242,Positive,sangat bantu cari tiket pesawat maupun hotel
170,1,0.9982117414474488,Positive,trimkasih cek in jadi lebih mudah setia guna tahun an
613,0,0.9999303817749025,Negative,baru update malah ga buka
702,1,0.9997511506080629,Positive,sangat bantu cari tiket pesawat harga lebih jangkau moga paylater approve
854,0,0.9999281167984008,Negative,buruk sekali makan hak orang
616,0,0.9998905658721924,Negative,tanggung jawab atas keluh konsumen
196,1,0.9693393111228944,Positive,nice apps to do everything
717,1,0.9997780919075012,Positive,suka sekali guna apk best pkoknya
272,1,0.9988609552383424,Positive,saran aja nih fitur filter tambah short by rating pilih rating utk atas misal sama kasih fitur utk total harga cari jadi klo mau nginap ato ato lebih malam langsung tau total harga searching hotel sangat mudah guna
510,1,0.9998445510864258,Positive,alhamdulillah dapet tiket mudik tgl mei pakai aplikasi gampang bgt
909,0,0.9946882724761964,Negative,pernah pakai jadi kasi aja dlu
987,0,0.9999020099639891,Negative,sdh bayar waktu bilang waktu habis
371,1,0.997954487800598,Positive,moga selalu jaga puasa langgan banyak promo
222,0,0.9999104738235474,Negative,mohon maaf beri bintang tampil tdk lihat tiket pesawat jadi tdk beli tiket pesawat yg muncul cara cicil bayar
785,0,0.9998750686645508,Negative,kurang ada opsi bayar lewat dompet digital terlalu sering promosi paylater beli voucher game bayar tagih pln
586,0,0.9999350309371948,Negative,jelek banget sebel banget mau masuk buat ngewar tiket susah banget sekali masuk malah udah habis tiket
1057,1,0.9998626708984376,Positive,keren banget sih dapet reward
518,0,0.999913215637207,Negative,rasa prank awal isi data harga gk ubah klik bayar kok tiba harga naik gk kira dear castumer pleaseee jgn percaya klo tiket murah
334,0,0.9998723268508912,Negative,sangat kecewa selalu bayar tepat waktu guna fitur pay virtual number kok input pin virtual numbernya selalu gagal aktif hari yg lalu
461,1,0.8878061771392822,Positive,sangat bantu mudah an depan mudah lebih relatif jangkau harga nya makin maju
108,1,0.9997871518135072,Positive,kupon diskon nya laku ramah
764,0,0.9989450573921204,Negative,kali kalau udh nyantumin biaya platform yg mahal minimal server lu kuat buat tiketing
903,0,0.999923825263977,Negative,koq aplikasi bioskop gag muncul sich tampil beranda nya knpa malah hilang menu bioskop nya
15,0,0.9999351501464844,Negative,makin amburadul playter nonaktif pihak no recommended
437,0,0.9999227523803712,Negative,uellekk sekali app gk recommended
431,0,0.999921441078186,Negative,mau refund karna salah tanggal malah gak refund gimana sih
500,1,0.6672863960266113,Positive,sangat puas baik moga depan makin beri puas limit paylater etiket aktif limit kredit indodana padahal langgan pernah telat bayar cek riwayat bayar tunggu skrg mohon aktif paylater
652,1,0.8710504770278931,Positive,very easy n simple tq
570,1,0.999607503414154,Positive,allah enakedak waa tahun jawab indah dlm hidup tahk rindu pada langka sia sia amin
224,1,0.5260504484176636,Positive,aplikasi bagus fitur payleaternya moga acc payleaternya
988,0,0.9999163150787354,Negative,baru coba kasih bintang dulu
465,1,0.999487042427063,Positive,baru pertamakali pesan hotel lewat moga benar bagus fasilitas
618,0,0.9999008178710938,Negative,aplikasi yg pusing susah pakai nya
199,1,0.9998501539230348,Positive,simple bgt sekarang berkat sukses y
149,1,0.9997777342796326,Positive,cara pesan mudah banyak diskon
